iter	Passed	Remaining
546	134471	111363
547	134749	111143
548	135040	110934
549	135328	110722
550	135557	110463
551	135959	110344
552	136240	110125
553	136484	109877
554	136779	109670
555	137049	109442
556	137296	109196
557	137564	108966
558	137805	108715
559	138147	108544
560	138398	108301
561	138657	108063
562	138900	107814
563	139098	107529
564	139397	107323
565	139665	107093
566	139933	106862
567	140206	106635
568	140474	106405
569	140745	106176
570	141189	106077
571	141453	105842
572	141705	105599
573	142027	105407
574	142255	105145
575	142537	104923
576	142821	104702
577	143105	104481
578	143488	104332
579	143827	104150
580	144185	103981
581	144532	103805
582	144755	103538
583	145099	103358
584	145327	103095
585	145604	102867
586	145842	102611
587	146102	102371
588	146390	102150
589	146663	101918
590	146895	101658
591	147194	101444
592	147461	101208
593	147706	100957
594	147943	100701
595	148264	100501
596	148605	100315
597	148849	100062
598	149099	99814
599	149382	99588
600	149712	99392
601	150079	99222
602	150393	99014
603	150587	98729
604	150836	98479
605	151163	98281
606	151553	98122
607	151788	97863
608	152085	97644
609	152365	97413
610	152645	97183
611	153059	97037
612	153355	96816
613	153594	96559
614	153857	96317
615	154068	96042
616	154429	95861
617	154666	95602
618	154797	95279
619	154994	94996
620	155228	94736
621	155451	94470
622	155796	94277
623	156155	94093
624	156411	93847
625	156723	93633
626	156927	93355
627	157421	93249
628	157655	92989
629	157875	92720
630	158200	92513
631	158481	92280
632	158655	91984
633	158904	91733
634	159094	91448
635	159362	91207
636	159594	90946
637	159854	90701
638	160127	90463
639	160462	90260
640	160643	89970
641	160964	89758
642	161233	89518
643	161463	89255
644	161711	89004
645	161948	88745
646	162123	88453
647	162389	88211
648	162653	87968
649	163059	87801
650	163329	87560
651	163589	87314
652	163780	87031
653	164012	86771
654	164207	86491
655	164661	86346
656	164989	86135
657	165295	85913
658	165479	85627
659	165741	85381
660	166012	85141
661	166401	84960
662	166816	84792
663	167113	84563
664	167411	84335
665	167728	84116
666	167935	83841
667	168206	83599
668	168576	83406
669	168873	83176
670	169335	83027
671	169581	82772
672	169892	82548
673	170233	82338
674	170742	82209
675	171189	82049
676	171458	81803
677	171873	81627
678	172215	81415
679	172517	81184
680	172887	80985
681	173128	80725
682	173398	80479
683	173679	80237
684	173902	79969
685	174230	79749
686	174496	79501
687	174801	79270
688	175056	79016
689	175358	78784
690	175663	78552
691	176015	78342
692	176325	78112
693	176594	77864
694	176914	77638
695	177197	77396
696	177381	77111
697	177732	76898
698	177893	76603
699	178190	76367
700	178461	76120
701	178795	75899
702	179031	75636
703	179308	75391
704	179644	75170
705	179976	74947
706	180225	74690
707	180408	74405
708	180584	74118
709	180843	73865
710	181146	73630
711	181415	73381
712	181710	73142
713	182024	72911
714	182332	72677
715	182497	72387
716	182725	72121
717	183065	71900
718	183384	71670
719	183712	71443
720	184061	71224
721	184410	71005
722	185115	70922
723	185907	70870
724	186313	70670
725	186688	70458
726	187050	70240
727	187414	70022
728	187720	69783
729	188003	69535
730	188170	69244
731	188426	68986
732	188763	68758
733	189023	68501
734	189321	68258
735	189627	68018
736	189951	67784
737	190357	67579
738	190668	67340
739	190900	67073
740	191301	66865
741	191574	66612
742	191777	66334
743	192095	66097
744	192403	65856
745	192569	65566
746	192854	65317
747	193050	65038
748	193374	64802
749	193598	64532
750	193877	64281
751	194118	64017
752	194409	63770
753	194726	63531
754	194963	63266
755	195164	62989
756	195478	62749
757	195889	62539
758	196151	62282
759	196431	62031
760	196720	61782
761	196977	61523
762	197195	61252
763	197580	61032
764	197874	60784
765	198113	60520
766	198453	60286
767	198780	60048
768	199114	59812
769	199556	59607
770	199908	59376
771	200204	59127
772	200505	58880
773	201294	58775
774	201683	58553
775	201973	58301
776	202452	58104
777	202717	57844
778	203138	57629
779	203345	57353
780	203605	57092
781	203936	56852
782	204229	56599
783	204800	56424
784	205098	56173
785	205436	55933
786	205702	55672
787	206031	55429
788	206307	55172
789	206539	54902
790	207013	54697
791	207301	54442
792	207604	54191
793	207961	53954
794	208275	53706
795	208616	53464
796	208994	53232
797	209330	52988
798	209682	52748
799	210060	52515
800	210361	52262
801	210610	51996
802	210957	51754
803	211375	51529
804	211807	51307
805	212087	51048
806	212336	50781
807	212646	50529
808	212860	50255
809	213360	50047
810	213613	49781
811	213906	49525
812	214244	49278
813	214594	49035
814	215089	48824
815	215340	48557
816	215687	48311
817	216073	48075
818	216371	47818
819	216578	47541
820	216931	47296
821	217217	47037
822	217409	46757
823	217700	46499
824	218043	46251
825	218367	45999
826	218563	45721
827	218789	45449
828	219011	45176
829	219403	44937
830	219704	44681
831	219998	44422
832	220239	44153
833	220510	43890
834	220765	43624
835	221137	43381
836	221398	43115
837	221727	42863
838	222121	42623
839	222341	42350
840	222583	42081
841	222851	41817
842	223135	41556
843	223347	41282
844	223762	41045
845	224016	40778
846	224242	40506
847	224458	40233
848	224818	39985
849	225094	39722
850	225438	39471
851	225703	39206
852	225924	38934
853	226204	38672
854	226471	38407
855	226774	38149
856	227054	37886
857	227320	37621
858	227634	37364
859	227768	37078
860	228041	36815
861	228200	36533
862	228461	36267
863	228743	36005
864	229050	35747
865	229341	35487
866	229596	35220
867	230016	34979
868	230288	34715
869	230521	34445
870	230763	34177
871	231156	33931
872	231361	33657
873	231543	33380
874	231842	33120
875	232221	32871
876	232548	32615
877	232829	32352
878	233051	32081
879	233432	31831
880	233617	31555
881	233897	31292
882	234146	31025
883	234409	30759
884	234658	30492
885	235011	30238
886	235378	29986
887	235626	29718
888	235970	29463
889	236175	29190
890	236470	28928
891	236785	28669
892	237067	28405
893	237270	28132
894	237530	27866
895	237903	27613
896	238205	27352
897	238505	27090
898	238765	26824
899	238991	26554
900	239248	26288
901	239632	26035
902	239933	25773
903	240225	25510
904	240526	25248
905	240849	24988
906	241183	24729
907	241450	24464
908	241735	24200
909	241997	23933
910	242261	23667
911	242503	23399
912	242709	23127
913	242937	22858
914	243335	22604
915	243522	22331
916	243723	22060
917	243912	21787
918	244094	21514
919	244284	21242
920	244662	20986
921	244988	20725
922	245306	20464
923	245526	20194
924	245731	19924
925	246042	19662
926	246224	19389
927	246474	19123
928	246737	18857
929	247057	18595
930	247264	18325
931	247517	18059
932	247779	17793
933	248054	17528
934	248391	17267
935	248712	17005
936	249002	16741
937	249282	16477
938	249604	16215
939	249905	15951
940	250158	15684
941	250462	15421
942	250648	15150
943	250957	14887
944	251089	14613
945	251456	14353
946	251760	14090
947	251973	13821
948	252201	13553
949	252556	13292
950	252755	13023
951	253015	12757
952	253354	12494
953	253691	12232
954	253920	11964
955	254112	11695
956	254405	11430
957	254629	11163
958	254959	10900
959	255174	10632
960	255472	10367
961	255880	10107
962	256125	9840
963	256410	9575
964	256723	9311
965	257010	9045
966	257293	8780
967	257590	8515
968	257837	8248
969	258084	7981
970	258339	7715
971	258544	7447
972	258971	7186
973	259277	6921
974	259515	6654
975	259829	6389
976	260124	6123
977	260518	5860
978	260815	5594
979	261093	5328
980	261356	5061
981	261601	4795
982	261888	4529
983	262221	4263
984	262636	3999
985	263010	3734
986	263262	3467
987	263491	3200
988	263768	2933
989	264040	2667
990	264292	2400
991	264572	2133
992	264847	1866
993	265139	1600
994	265447	1333
995	265682	1066
996	265899	800
997	266199	533
998	266540	266
999	266752	0
