iter	Accuracy	MultiClass
262	0.6878358498	0.9574830623
263	0.6878668215	0.957267712
264	0.687928765	0.9570968835
265	0.6878513357	0.9569175256
266	0.6880061943	0.9567794836
267	0.688052652	0.9566116797
268	0.6880836237	0.9565237853
269	0.6882075106	0.9564527681
270	0.6882384824	0.9563119435
271	0.6882384824	0.95619217
272	0.6883623693	0.956002589
273	0.6882539683	0.9558443428
274	0.6883313976	0.9556141115
275	0.6884552846	0.9553781335
276	0.6884707704	0.9552811653
277	0.6886256291	0.955116144
278	0.6885946574	0.9549343665
279	0.6886101432	0.9548211261
280	0.6885791715	0.9546952429
281	0.6886101432	0.9544572082
282	0.6886720867	0.9543168675
283	0.6887340302	0.9542036271
284	0.6889198606	0.9539249419
285	0.6889353465	0.9538180531
286	0.6891676345	0.9535458406
287	0.6891211769	0.9534437306
288	0.6892140921	0.9532002516
289	0.689229578	0.9531045538
290	0.6892450639	0.9529470335
291	0.6892915215	0.9528455285
292	0.6893070074	0.9527398495
293	0.6893070074	0.952689097
294	0.6893689508	0.9525966052
295	0.6893999226	0.9524323098
296	0.6894308943	0.9523089068
297	0.6894773519	0.9522159916
298	0.6894928378	0.9521361426
299	0.6895392954	0.9520036053
300	0.6895702671	0.9518593327
301	0.6896476965	0.9517352642
302	0.6896631823	0.951606054
303	0.68970964	0.9515206398
304	0.6897251258	0.9513739474
305	0.6896631823	0.9512617354
306	0.6897406117	0.9511403286
307	0.6898025552	0.9510034964
308	0.6897251258	0.9509238894
309	0.6897715834	0.9508001234
310	0.6897715834	0.9506970456
311	0.6897715834	0.9506041909
312	0.6897715834	0.9505053475
313	0.689818041	0.9503757743
314	0.6898335269	0.9502353731
315	0.689818041	0.9501645979
316	0.6899264421	0.9500653915
317	0.6898799845	0.9499260187
318	0.6898799845	0.9496927023
319	0.6898490128	0.9494936847
320	0.6898025552	0.9493940549
321	0.6898954704	0.9492740999
322	0.6898799845	0.949171627
323	0.6900503291	0.9489533125
324	0.6900503291	0.9488233764
325	0.6902206736	0.9487296748
326	0.6902516454	0.9485562452
327	0.6903445606	0.9483618854
328	0.6902051878	0.9482589286
329	0.6902361595	0.9481135671
330	0.6901897019	0.9479855667
331	0.6903290747	0.9476508662
332	0.6903290747	0.9475052628
333	0.6904219899	0.9474049676
334	0.6904065041	0.9473383057
335	0.6904065041	0.9472394019
336	0.6903910182	0.9471225924
337	0.6904529617	0.9470117112
338	0.6904994193	0.9468952647
339	0.6903910182	0.9467462737
340	0.6904219899	0.9466765873
341	0.6903755323	0.9465200348
342	0.6904065041	0.9464034674
343	0.6903600465	0.9462885937
344	0.6904065041	0.9461360942
345	0.6904839334	0.9460583019
346	0.6906078204	0.9459280633
347	0.6905768486	0.945824562
348	0.6905458769	0.9456753291
349	0.6905613628	0.9455436387
350	0.6905613628	0.9454426781
351	0.6906387921	0.9452480764
352	0.6904994193	0.9451864353
353	0.6904374758	0.9450676297
354	0.6906852497	0.9447534964
355	0.6906852497	0.9445910763
356	0.6907936508	0.9444497677
357	0.6908710801	0.9443087616
358	0.6908246225	0.944204474
359	0.6908555943	0.9441125266
360	0.6909175377	0.9439989232
361	0.6909020519	0.9438646317
362	0.6909330236	0.9437613724
363	0.6909175377	0.9436360942
364	0.6909485095	0.9435096061
365	0.6910569106	0.9433966681
366	0.6910569106	0.943306596
367	0.6911343399	0.9432271099
368	0.6911033682	0.9431419377
369	0.691118854	0.9430131509
370	0.6911343399	0.9428328252
371	0.6912891986	0.9426825034
372	0.6913046845	0.9426390704
373	0.6912891986	0.9425261929
374	0.6913201703	0.9421979046
375	0.6913201703	0.942074683
376	0.6913511421	0.9417065912
377	0.6914130856	0.9416356949
378	0.691475029	0.9413977207
379	0.691475029	0.9412976069
380	0.6915214866	0.9411546046
381	0.6915214866	0.941075905
382	0.6914440573	0.9409918215
383	0.6914285714	0.9409038666
384	0.6915834301	0.940690452
385	0.6915834301	0.9405356538
386	0.6916298877	0.9404190258
387	0.6917228029	0.9402858837
388	0.6917228029	0.9401665336
389	0.6918157182	0.9400512364
390	0.6918002323	0.9399171264
391	0.6919086334	0.9397852545
392	0.6918621758	0.9397195606
393	0.6919086334	0.9395615563
394	0.691955091	0.9394180701
395	0.6918776616	0.9393379791
396	0.6919705768	0.9391998161
397	0.6920170345	0.9391448292
398	0.6922028649	0.9390527608
399	0.692311266	0.9389639591
400	0.6922183508	0.9388190815
401	0.6922648084	0.938698945
402	0.6921718931	0.9385962302
403	0.6922028649	0.9384054394
404	0.6923577236	0.938187004
405	0.6924041812	0.938066807
406	0.6924196671	0.9379239257
407	0.6924041812	0.9378285303
408	0.6925125823	0.9376804467
409	0.6926364692	0.9375047788
410	0.692667441	0.9373975271
411	0.6927138986	0.9373129597
412	0.6925900116	0.9371965738
413	0.692667441	0.9371342068
414	0.6928068138	0.9369573292
415	0.6928842431	0.9368852836
416	0.6928687573	0.9368293893
417	0.6928687573	0.9367541981
418	0.6930081301	0.9366182733
419	0.6929926442	0.9365292296
420	0.6931165312	0.9364274826
421	0.6930391018	0.9363363821
